Country,Date,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotalTests,Population,Continent,1 Caseevery X ppl,lat,lon
Bangladesh,2023-03-03,2037829,0,29445.0,0.0,1998448.0,0,9936.0,0,15254399.0,167885689,Asia,82,24.4769288,90.2934413
Bangladesh,2023-03-04,2037829,0,29445.0,0.0,1998448.0,0,9936.0,0,15254399.0,167885689,Asia,82,24.4769288,90.2934413
Bangladesh,2023-03-05,2037829,0,29445.0,0.0,1998448.0,0,9936.0,0,15254399.0,167885689,Asia,82,24.4769288,90.2934413
Bangladesh,2023-03-06,2037829,0,29445.0,0.0,1998448.0,0,9936.0,0,15254399.0,167885689,Asia,82,24.4769288,90.2934413
Bangladesh,2023-03-07,2037829,0,29445.0,0.0,1998448.0,0,9936.0,0,15254399.0,167885689,Asia,82,24.4769288,90.2934413
Bangladesh,2023-03-08,2037829,0,29445.0,0.0,1998448.0,0,9936.0,0,15254399.0,167885689,Asia,82,24.4769288,90.2934413
Bangladesh,2023-03-09,2037871,42,29445.0,0.0,1998448.0,0,9978.0,0,15254399.0,167885689,Asia,82,24.4769288,90.2934413
Bangladesh,2023-03-10,2037871,0,29445.0,0.0,1998448.0,0,9978.0,0,15254399.0,167885689,Asia,82,24.4769288,90.2934413
Belarus,2023-03-02,994037,0,7118.0,0.0,985592.0,0,1327.0,0,13646641.0,9432800,Europe,9,53.4250605,27.6971358
Belarus,2023-03-03,994037,0,7118.0,0.0,985592.0,0,1327.0,0,13646641.0,9432800,Europe,9,53.4250605,27.6971358
Belarus,2023-03-04,994037,0,7118.0,0.0,985592.0,0,1327.0,0,13646641.0,9432800,Europe,9,53.4250605,27.6971358
Belarus,2023-03-05,994037,0,7118.0,0.0,985592.0,0,1327.0,0,13646641.0,9432800,Europe,9,53.4250605,27.6971358
Belarus,2023-03-06,994037,0,7118.0,0.0,985592.0,0,1327.0,0,13646641.0,9432800,Europe,9,53.4250605,27.6971358
Belarus,2023-03-07,994037,0,7118.0,0.0,985592.0,0,1327.0,0,13646641.0,9432800,Europe,9,53.4250605,27.6971358
Belarus,2023-03-08,994037,0,7118.0,0.0,985592.0,0,1327.0,0,13646641.0,9432800,Europe,9,53.4250605,27.6971358
Belarus,2023-03-09,994037,0,7118.0,0.0,985592.0,0,1327.0,0,13646641.0,9432800,Europe,9,53.4250605,27.6971358
Belarus,2023-03-10,994037,0,7118.0,0.0,985592.0,0,1327.0,0,13646641.0,9432800,Europe,9,53.4250605,27.6971358
Belgium,2023-03-02,4727795,1449,33775.0,8.0,4660013.0,558,34007.0,43,36752058.0,11668278,Europe,2,50.6402809,4.6667145
Belgium,2023-03-03,4727795,0,33775.0,0.0,4661128.0,1115,32892.0,43,36752058.0,11668278,Europe,2,50.6402809,4.6667145
Belgium,2023-03-04,4727795,0,33775.0,0.0,4661070.0,0,32950.0,43,36752058.0,11668278,Europe,2,50.6402809,4.6667145
Belgium,2023-03-05,4727795,0,33775.0,0.0,4661628.0,558,32392.0,43,36752058.0,11668278,Europe,2,50.6402809,4.6667145
Belgium,2023-03-06,4727795,0,33775.0,0.0,4661628.0,558,32392.0,43,36752058.0,11668278,Europe,2,50.6402809,4.6667145
Belgium,2023-03-07,4727795,0,33775.0,0.0,4662420.0,792,31600.0,43,36752058.0,11668278,Europe,2,50.6402809,4.6667145
Belgium,2023-03-08,4727795,0,33775.0,0.0,4663213.0,793,30807.0,43,36752058.0,11668278,Europe,2,50.6402809,4.6667145
